name,url
Bulbasaur,https://pokeapi.co/api/v2/pokemon/1/
Ivysaur,https://pokeapi.co/api/v2/pokemon/2/
Venusaur,https://pokeapi.co/api/v2/pokemon/3/
Charmander,https://pokeapi.co/api/v2/pokemon/4/
Charmeleon,https://pokeapi.co/api/v2/pokemon/5/
Charizard,https://pokeapi.co/api/v2/pokemon/6/
Squirtle,https://pokeapi.co/api/v2/pokemon/7/
Wartortle,https://pokeapi.co/api/v2/pokemon/8/
Blastoise,https://pokeapi.co/api/v2/pokemon/9/
Caterpie,https://pokeapi.co/api/v2/pokemon/10/
Metapod,https://pokeapi.co/api/v2/pokemon/11/
Butterfree,https://pokeapi.co/api/v2/pokemon/12/
Weedle,https://pokeapi.co/api/v2/pokemon/13/
Kakuna,https://pokeapi.co/api/v2/pokemon/14/
Beedrill,https://pokeapi.co/api/v2/pokemon/15/
Pidgey,https://pokeapi.co/api/v2/pokemon/16/
Pidgeotto,https://pokeapi.co/api/v2/pokemon/17/
Pidgeot,https://pokeapi.co/api/v2/pokemon/18/
Rattata,https://pokeapi.co/api/v2/pokemon/19/
Raticate,https://pokeapi.co/api/v2/pokemon/20/
Spearow,https://pokeapi.co/api/v2/pokemon/21/
Fearow,https://pokeapi.co/api/v2/pokemon/22/
Ekans,https://pokeapi.co/api/v2/pokemon/23/
Arbok,https://pokeapi.co/api/v2/pokemon/24/
Pikachu,https://pokeapi.co/api/v2/pokemon/25/
Raichu,https://pokeapi.co/api/v2/pokemon/26/
Sandshrew,https://pokeapi.co/api/v2/pokemon/27/
Sandslash,https://pokeapi.co/api/v2/pokemon/28/
Nidoran-F,https://pokeapi.co/api/v2/pokemon/29/
Nidorina,https://pokeapi.co/api/v2/pokemon/30/
Nidoqueen,https://pokeapi.co/api/v2/pokemon/31/
Nidoran-M,https://pokeapi.co/api/v2/pokemon/32/
Nidorino,https://pokeapi.co/api/v2/pokemon/33/
Nidoking,https://pokeapi.co/api/v2/pokemon/34/
Clefairy,https://pokeapi.co/api/v2/pokemon/35/
Clefable,https://pokeapi.co/api/v2/pokemon/36/
Vulpix,https://pokeapi.co/api/v2/pokemon/37/
Ninetales,https://pokeapi.co/api/v2/pokemon/38/
Jigglypuff,https://pokeapi.co/api/v2/pokemon/39/
Wigglytuff,https://pokeapi.co/api/v2/pokemon/40/
Zubat,https://pokeapi.co/api/v2/pokemon/41/
Golbat,https://pokeapi.co/api/v2/pokemon/42/
Oddish,https://pokeapi.co/api/v2/pokemon/43/
Gloom,https://pokeapi.co/api/v2/pokemon/44/
Vileplume,https://pokeapi.co/api/v2/pokemon/45/
Paras,https://pokeapi.co/api/v2/pokemon/46/
Parasect,https://pokeapi.co/api/v2/pokemon/47/
Venonat,https://pokeapi.co/api/v2/pokemon/48/
Venomoth,https://pokeapi.co/api/v2/pokemon/49/
Diglett,https://pokeapi.co/api/v2/pokemon/50/
